id,beta,debt_ratio,liquidity_ratio,base_reserves_begin,market_price_begin,user_a_position,liquidate_price,user_b_position,market_price_after_b,profit_loss,profit_percent
182,0.5,10099,0.12,"(36649871750740971435566, 3053950989251, 1645083877)",83.32774013565972,"(-439870733185477777237, 40146000000, 488690733185477777237)",90.1285138411055,"(22071244397739766575625, -178188000000, 2071244397739766575625)",91.02472511316323,-4.8443161212138905,
183,0.5,10099,0.14,"(36649871750740971435566, 3053950989251, 1645083877)",83.32774013565972,"(-514327780903230835915, 46837000000, 571407780903230835915)",89.73830068538808,"(22077760306034456397591, -177965000000, 2077760306034456397591)",90.63062150389233,-5.666300039192326,
184,0.55,10099,0.01,"(36649871750740971435566, 3053950989251, 1645083997)",83.32774013565972,"(-36206937853059909513, 3345000000, 40226937853059909001)",92.2776109809359,"(22033761560676904644909, -179200000000, 2033761560676904644909)",93.19524961134039,-0.29792571883933244,
185,0.55,10100,0.02,"(36649871750740971435566, 3053950989251, 1645084057)",83.32774013565972,"(-72504256122461289654, 6691000000, 80554256122461290678)",92.07311944655581,"(22035605351106029101021, -178967000000, 2035605351106029101021)",92.9887207448535,-0.7070422786488932,
186,0.55,10099,0.04,"(36649871750740971435566, 3053950989251, 1645084117)",83.32774013565972,"(-145323043603770755683, 13382000000, 161463043603770755683)",91.66316440306775,"(22038977426998969033918, -178471000000, 2038977426998969033918)",92.57468382842386,-1.4814625126015655,
187,0.55,10099,0.06,"(36649871750740971435566, 3053950989251, 1645084177)",83.32774013565972,"(-218468708124272618852, 20073000000, 242728708124272618852)",91.24979400844609,"(22041535505538523169806, -177899000000, 2041535505538523169806)",92.15721222729576,-1.9071239849028423,
188,0.55,10099,0.08,"(36649871750740971435566, 3053950989251, 1645084222)",83.32774013565972,"(-291923616102966811686, 26764000000, 324353616102966811686)",90.84245728758009,"(22045076127665479717216, -177417000000, 2045076127665479717216)",91.74583575761815,-2.943362290201405,
189,0.55,10099,0.1,"(36649871750740971435566, 3053950989251, 1645084282)",83.32774013565972,"(-365700154927210230756, 33455000000, 406340154927210230756)",90.43547290344883,"(22048518658413170961167, -176925000000, 2048518658413170961167)",91.33480937084346,-3.6241914915438844,
190,0.55,10099,0.12,"(36649871750740971435566, 3053950989251, 1645084342)",83.32774013565972,"(-439800733185477777237, 40146000000, 488690733185477777237)",90.02905507192804,"(22051905614324002690965, -176427000000, 2051905614324002690965)",90.92436481216534,-4.271545004304141,
191,0.55,10099,0.14,"(36649871750740971435566, 3053950989251, 1645084402)",83.32774013565972,"(-514237780903230835915, 46837000000, 571407780903230835915)",89.62153936359182,"(22054905007633824191954, -175893000000, 2054905007633824191954)",90.51279901138952,-4.885266022430615,
192,0.6,10099,0.01,"(36649871750740971435566, 3053950989251, 1645084522)",83.32774013565972,"(-36206937853059909513, 3345000000, 40226937853059909001)",92.2703479010494,"(22032400063982538886658, -179073000000, 2032400063982538886658)",93.18792410981109,-0.29421777509566793,
193,0.6,10099,0.02,"(36649871750740971435566, 3053950989251, 1645084582)",83.32774013565972,"(-72504256122461289654, 6691000000, 80554256122461290678)",92.0539297949197,"(22031995047090295790301, -178631000000, 2031995047090295790301)",92.96936201498177,-0.6853538238626284,
